RR,RF ACC,NB ACC,LR ACC
Notice-NoLimitedInformation,93.75468164794007+-1.3211043102774824,99.89700374531836+-0.11177281260593047,99.85955056179775+-0.07402335346836347
Notice-UnabletoAccessviacurrentresources,94.27366447985004+-3.9800142174878306,99.86879100281162+-0.03920618681040293,99.98125585754451+-0.02566647410989629
NotPresentedatConference,100.0+-0.0,99.99065420560747+-0.02089783156542103,100.0+-0.0
ObjectionsbyAuthor(s),88.6337760910816+-2.7625649563328354,97.89373814041745+-0.435555177652297,99.6584440227704+-0.07036241448857289
ObjectionsbyCompanyInstitution,100.0+-0.0,99.96258185219831+-0.03913283566576643,100.0+-0.0
ObjectionsbyThirdParty,88.46335697399527+-2.460446682034553,99.60283687943263+-0.1138685066552484,99.67848699763593+-0.1932181252170481
OriginalDatanotProvided,84.81446241674595+-1.2088785774440876,96.45099904852522+-0.23451489141515802,99.61941008563272+-0.16819856831268984
PaperMill,100.0+-0.0,99.90654205607477+-0.08093695362471102,100.0+-0.0
PlagiarismofArticle,75.14370664023785+-1.7161006465704078,93.77601585728443+-0.7625523909483146,98.71159563924678+-0.341527471558231
PlagiarismofData,90.29702970297029+-1.3152398069438784,98.47241867043847+-0.16868028118809958,99.9057048561999+-0.07454685667535217
PlagiarismofImage,89.85875706214689+-1.422827388285613,99.58568738229755+-0.13886893788844512,99.90583804143127+-0.0
PlagiarismofText,77.60700389105058+-1.2935365920675115,95.6614785992218+-0.6830151627059173,99.05642023346303+-0.08138716211420685
PublishingBan,93.9672131147541+-2.339905456397262,99.1288056206089+-0.15744952050559383,99.99063231850117+-0.02094677262295086
RandomlyGeneratedContent,91.02347417840376+-2.028147278617667,99.55868544600939+-0.1612729017588534,99.86854460093896+-0.0962155001498628
ResultsNotReproducible,76.9475204622051+-2.8584103960360965,95.76311988444873+-0.8283413834417518,99.48001925854598+-0.11494787083595151
RetractandReplace,76.67957405614715+-2.6452424517444166,96.6892545982575+-0.47989523941705164,99.49661181026137+-0.15534178640736712
SalamiSlicing,99.60729312762973+-0.16396145784712043,99.86909770920991+-0.1066082678914607,99.96259934548854+-0.039114540744929614
TakenfromDissertationThesis,99.8971482000935+-0.20485182141380556,99.99064983637214+-0.020907601472648026,99.97194950911641+-0.04181520294529605
TakenviaPeerReview,100.0+-0.0,99.99065420560747+-0.02089783156542103,100.0+-0.0
TemporaryRemoval,90.68043172219616+-1.5157275832187074,98.90192397935242+-0.39345422461295193,99.9530736743313+-0.06636384619300977
UnreliableData,82.29651162790698+-1.2784640038429171,96.40503875968993+-0.4537222778466304,99.37984496124031+-0.18889136327149234
UnreliableImage,88.79962192816635+-0.33749661760599325,98.75236294896031+-0.19370417326955675,99.69754253308129+-0.13198714597135044
UnreliableResults,73.5049504950495+-0.8212452021119864,93.82178217821782+-1.1690927109881353,98.54455445544554+-0.2230471351696756
UpdatedtoRetraction,100.0+-0.0,99.97194950911641+-0.025606477676724904,99.96259934548854+-0.020907601472648026
UpgradeUpdateofPriorNotice,84.56542502387775+-0.8736775552361516,97.65042979942693+-0.40154389703109755,99.64660936007641+-0.14949833660456635
Withdrawal,72.06445115810675+-1.9476709246561634,95.11581067472306+-0.6802243749298229,98.19738167170192+-0.2577338145431976
Withdrawn(outofdate),70.90199902486592+-2.410228869277852,94.11994149195515+-0.35428380545265625,99.06387128230132+-0.24231640448150146
WithdrawntoPublishinDifferentJournal,89.96708979783733+-1.9725401626311372,99.86835919134931+-0.061299505455597196,99.9059708509638+-0.06648864891269955
