RR,RF ACC,NB ACC,LR ACC
FalseForgedAuthorship,84.38721983786361+-2.3699133242409447,66.97186456843109+-1.2207357223737136,95.42203147353362+-0.665060833618569
FalsificationFabricationofData,64.29829104091144+-1.4895299444440497,58.436043500776805+-1.7590694796128201,71.10305541170378+-0.6995989687263773
FalsificationFabricationofImage,77.49397590361446+-1.5841426423029998,62.43855421686747+-0.9973691623688886,91.25783132530121+-0.8358355041418253
FalsificationFabricationofResults,91.13721804511277+-1.3867161917987239,72.453007518797+-0.5797432523793637,99.76503759398496+-0.07430163675207613
InformedPatientConsent-NoneWithdrawn,92.35321747299201+-0.3629205029982491,74.83325504931892+-0.4964218916154205,99.67120713950212+-0.1485334739393296
InvestigationbyCompanyInstitution,63.41573033707865+-2.0424265281679688,57.078651685393254+-1.3977365510814301,63.89887640449438+-1.0641582465214898
InvestigationbyJournalPublisher,60.78066914498141+-1.5625179941658591,55.861214374225526+-1.037308695502357,62.874845105328376+-1.4878921254847142
InvestigationbyORI,83.7488106565176+-2.3697739769749315,59.45765937202664+-0.6341777520259974,96.68886774500476+-0.3694247128128912
InvestigationbyThirdParty,73.57771260997067+-0.6608189161742166,60.62561094819159+-1.3194670597377862,84.54545454545455+-1.4205143251487131
LackofApprovalfromAuthor,85.29356060606061+-1.6448402956686397,73.76893939393939+-1.1837121212121218,98.84469696969697+-0.31335969901087957
LackofApprovalfromCompanyInstitution,98.78873239436619+-0.411166836541058,86.52582159624413+-0.349757380886181,99.86854460093896+-0.051429348122551066
LackofApprovalfromThirdParty,96.38836772983115+-1.195370069172108,85.71294559099437+-1.0821588929432149,99.7560975609756+-0.1604374425561669
LackofIRBIACUCApproval,82.4618320610687+-1.2498725242382709,64.8854961832061+-1.0646905345620903,96.05916030534351+-0.4367478050131976
LegalReasonsLegalThreats,94.04594467885607+-0.5396560915715601,89.7515236755743+-0.5453283084330175,99.90623534927332+-0.05741888754765875
ManipulationofImages,76.70286278381046+-0.9828384872527082,57.40375123395854+-1.1341683408762142,82.04343534057256+-0.6059226471638256
ManipulationofResults,99.88764044943821+-0.05337899930239792,98.12734082397004+-0.4785825912982427,99.93445692883896+-0.05337899930239605
MiscommunicationbyAuthor,92.90473955889254+-0.33082227558919647,89.92961051149695+-0.30878805962199724,99.82167996245894+-0.10173384978263171
MiscommunicationbyCompanyInstitution,100.0+-0.0,98.14866760168303+-0.18874828647205563,99.98129967274427+-0.025606477676724904
MiscommunicationbyJournalPublisher,100.0+-0.0,99.45743685687559+-0.1501104446761578,99.97193638914874+-0.025618454513802704
MiscommunicationbyThirdParty,100.0+-0.0,99.49509116409537+-0.15645816297972526,99.99064983637214+-0.020907601472648026
Misconduct-OfficialInvestigationFinding,67.13552361396304+-1.5303424932609742,57.36139630390144+-1.448603083548608,69.52772073921972+-1.4889718661499904
MisconductbyAuthor,63.34560757496055+-1.0615043245137872,54.89742240925828+-1.191800368209109,68.16412414518675+-1.3562218048277372
MisconductbyCompanyInstitution,100.0+-0.0,99.98130841121495+-0.02559451203295467,100.0+-0.0
MisconductbyThirdParty,99.89705194197474+-0.039151147708658,92.60645765091249+-0.532513180942486,99.9157697707066+-0.06101265704448169
NoFurtherAction,99.99064108563407+-0.02092716871782541,98.4370613008891+-0.30072567174655496,99.9719232569022+-0.04185433743565082
Notice-Lackof,85.61999057048563+-2.567270794919752,74.18198962753418+-1.7056737847573757,99.48137670909948+-0.17953260504158444
Notice-LimitedorNoInformation,59.13572732805843+-0.7989232780577217,55.179549604382224+-1.4406973183572074,61.314668289713936+-1.19238065575136
Notice-NoLimitedInformation,92.77153558052434+-0.392533217532856,89.47565543071161+-0.5651041901500471,99.95318352059925+-0.0468164794007464
Notice-UnabletoAccessviacurrentresources,96.87910028116214+-0.19490753836069089,95.31396438612933+-0.35378793042505785,99.94376757263355+-0.03920618681040802
NotPresentedatConference,100.0+-0.0,99.85046728971963+-0.06092712528226994,100.0+-0.0
ObjectionsbyAuthor(s),89.9146110056926+-0.9514903975586424,67.92220113851992+-0.9495964113112824,98.33017077798861+-0.3026401880025954
ObjectionsbyCompanyInstitution,100.0+-0.0,99.5977549111319+-0.06275214155752455,99.97193638914874+-0.025618454513802704
ObjectionsbyThirdParty,88.84160756501183+-2.128710011251138,66.95035460992908+-1.0035454031579778,98.80851063829788+-0.12238467239285528
OriginalDatanotProvided,81.7697431018078+-1.6169473481444736,58.097050428163655+-2.6222582957065788,97.0313986679353+-0.44450270701420236
PaperMill,100.0+-0.0,99.95327102803738+-0.05723106875661718,100.0+-0.0
PlagiarismofArticle,70.50545094152626+-2.201782481254817,57.076313181367695+-1.5462916941764526,79.9207135777998+-1.1760076887366775
PlagiarismofData,89.71239981140971+-1.3832008048347657,63.620933521923625+-1.3988613869152728,99.07590759075907+-0.2508144474921348
PlagiarismofImage,89.7834274952919+-1.2353711641621383,68.67231638418079+-0.9313231781931636,99.62335216572505+-0.16645639858440242
PlagiarismofText,72.11089494163424+-0.7710332979782105,61.235408560311285+-0.7023117255930795,86.41050583657588+-0.7324844590278847
PublishingBan,96.0655737704918+-0.20145960812746314,96.92740046838406+-0.16757418098359117,99.92505854800937+-0.05340400117560192
RandomlyGeneratedContent,91.74647887323944+-0.8086845942608085,77.16431924882629+-1.123626313739087,99.84037558685446+-0.08528592546753853
ResultsNotReproducible,73.82763601348098+-0.8933713378187916,61.72363986519017+-0.9286134579675436,91.79585941261435+-0.22989574167189586
RetractandReplace,73.5430784123911+-0.7987180581778947,59.91287512100678+-0.5544170789264813,88.3349467570184+-0.6366382593400733
SalamiSlicing,99.588592800374+-0.15292592083960843,99.34548854604955+-0.1749255440287005,99.95324918186068+-0.05725782474949358
TakenfromDissertationThesis,96.5684899485741+-0.3249097775389252,74.23094904160823+-0.46680639238397903,99.96259934548854+-0.039114540744929614
TakenviaPeerReview,100.0+-0.0,99.95327102803738+-0.03304237295264124,100.0+-0.0
TemporaryRemoval,95.49507273580478+-1.947018436013585,86.08165180666354+-0.735711406748611,99.86860628812765+-0.06960298908583334
UnreliableData,76.4922480620155+-1.215303263187063,60.43604651162791+-0.9711700333617638,87.89728682170542+-0.8883603398981765
UnreliableImage,85.94517958412098+-0.9717439064253217,73.78071833648393+-1.0737256716087134,99.1304347826087+-0.10879834057865512
UnreliableResults,68.97029702970298+-2.4075901935634936,55.85148514851485+-0.9244312203027725,79.62376237623762+-0.6882790610471109
UpdatedtoRetraction,100.0+-0.0,99.44834034595605+-0.15292592083960843,99.98129967274427+-0.025606477676724904
UpgradeUpdateofPriorNotice,83.68672397325692+-1.5220447692255934,57.277936962750715+-0.8777142417885518,93.34288443170965+-0.38737917460693816
Withdrawal,67.82477341389728+-1.075234466468412,56.294058408862035+-1.7947670614926095,75.34743202416918+-0.8061113924987993
Withdrawn(outofdate),67.97659678205753+-1.241334577798836,56.42125792296441+-1.1939918545986297,88.25938566552901+-1.0499119711074836
WithdrawntoPublishinDifferentJournal,89.98589562764457+-1.2018639427516942,76.32346027268454+-0.7927220526304632,99.68970380818054+-0.17145822782144077
