RR,RF ACC,NB ACC,LR ACC
CriminalProceedings,93.7059652418976+-0.4801561366900133,84.01127289807421+-1.174542004705157,99.85908877407233+-0.11015537247119421
DateofRetractionOtherUnknown,83.10772163965682+-0.36393916432452056,73.80362249761677+-1.0292650449362486,98.51286939942803+-0.17642283625664107
DoingtheRightThing,97.01030927835052+-0.3855670558711188,94.22680412371133+-0.96457236874381,99.95313964386129+-0.03313527559449739
DuplicatePublicationthroughErrorbyJournalPublisher,85.66001899335232+-0.3374328205971489,74.29249762583096+-1.1797494176398378,99.38271604938271+-0.22523345157894137
DuplicationofArticle,69.22448979591837+-2.1584105131686453,57.11224489795919+-0.5525771659821322,85.16326530612245+-0.6839399419770522
DuplicationofData,80.29779058597502+-1.8240301827116434,68.6743515850144+-0.6855115702472309,97.78097982708934+-0.10952693804987199
DuplicationofImage,71.59672466734902+-2.1703544277011306,57.8300921187308+-1.2346303052011065,82.04708290685772+-0.28355977844821234
DuplicationofText,80.14347202295552+-1.3570562523299032,70.01434720229555+-1.3373631233007721,98.0392156862745+-0.3642167912895226
ErrorbyJournalPublisher,81.0019267822736+-1.6496227200773788,71.97495183044316+-1.3519264767729244,97.95761078998073+-0.32420652544246104
ErrorbyThirdParty,100.0+-0.0,99.66339410939692+-0.16660616812720708,99.98129967274427+-0.04181520294529605
ErrorinAnalyses,82.1999043519847+-0.8987860323928071,71.0569105691057+-1.3237837358799316,97.94356767097082+-0.3795912928356679
ErrorinCellLinesTissues,93.55836849507736+-0.762180311762606,85.82278481012658+-1.9870032593472324,99.89685888420065+-0.07703552144938913
ErrorinData,70.96644967451176+-2.0467800320392353,60.050075112669006+-0.7687793801912981,89.70455683525287+-0.6159442412292392
ErrorinImage,77.84046692607004+-1.7813114191506643,68.15175097276264+-1.3084471211303785,95.98249027237355+-0.30491105094664195
ErrorinMaterials(General),96.12206572769952+-1.2105030887874793,90.59154929577466+-0.19807533436365277,99.94366197183099+-0.02099594345070553
ErrorinMethods,80.22009569377991+-1.132567317732484,63.27272727272727+-1.8177410697215048,98.43062200956938+-0.1636615442726082
ErrorinResultsandorConclusions,83.03408545367259+-2.0004288656593006,69.87998079692751+-1.6670490171654984,98.3773403744599+-0.42181243661044343
ErrorinText,92.42194891201514+-0.5854966299627559,81.5515610217597+-1.4277566956278671,99.48912015137181+-0.09099046386788863
EthicalViolationsbyAuthor,78.40579710144928+-2.209583889087779,66.38647342995169+-1.4340586016293697,96.47342995169082+-0.4878987892928586
EthicalViolationsbyThirdParty,100.0+-0.0,99.80364656381487+-0.06934266935106079,99.99064983637214+-0.020907601472648026
EuphemismsforDuplication,83.6703402012458+-2.136523065133215,69.3914710110206+-1.3232881521499866,97.66171538092956+-0.4448680168063291
EuphemismsforMisconduct,99.9812734082397+-0.025642441830764747,98.96067415730337+-0.16013699790718525,99.9625468164794+-0.020936966081457516
EuphemismsforPlagiarism,79.77767037216046+-1.8633427512420684,65.4132431126148+-0.50990244156222,96.27839536007733+-0.5338502183270781
FakePeerReview,93.77172381399718+-0.38245566906194844,68.98074213245656+-0.9933991582159443,99.85908877407233+-0.06642618893250186
FalseForgedAuthorship,86.55221745350501+-0.853720257032342,76.8621840724845+-0.8776253674114253,98.55030996661898+-0.24687036920448072
FalsificationFabricationofData,65.41688244432936+-2.3056398094852137,59.564992232004144+-1.265015203676164,80.98394614189539+-0.6835051663136797
FalsificationFabricationofImage,77.80240963855421+-1.4707088318196915,67.73012048192771+-1.258375914974535,97.17590361445782+-0.3001910651064549
FalsificationFabricationofResults,90.33834586466165+-2.00355572467106,81.77631578947368+-1.5057405886963828,99.84962406015038+-0.07721652596407655
InformedPatientConsent-NoneWithdrawn,93.83748238609677+-0.9319809728233452,86.51009863785815+-1.1338271381237626,99.85908877407233+-0.11975151511490678
InvestigationbyCompanyInstitution,62.57303370786517+-1.7718463434265503,56.8876404494382+-1.37014167923766,71.06741573033707+-0.6788228075053115
InvestigationbyJournalPublisher,61.734820322180916+-1.69542814141136,56.98884758364312+-0.7975496408937325,67.70755885997521+-1.3435003441211444
InvestigationbyORI,87.51665080875357+-1.6821875093000282,69.22930542340627+-0.7870542837326241,98.62987630827783+-0.20572548344852087
InvestigationbyThirdParty,75.32746823069404+-1.0837883411227787,62.023460410557185+-1.4211868375902936,93.31378299120234+-0.6515355008595564
LackofApprovalfromAuthor,87.43371212121212+-2.4123576752814793,79.88636363636364+-1.5744350191708072,99.49810606060606+-0.12792856142145997
LackofApprovalfromCompanyInstitution,98.74178403755869+-0.1918574341943864,92.78873239436619+-0.6936609788447248,99.84976525821597+-0.03927981345230506
LackofApprovalfromThirdParty,96.22889305816135+-0.6487394147099503,88.75234521575985+-0.3046975941634438,99.84052532833022+-0.07113391598547252
LackofIRBIACUCApproval,86.04961832061069+-1.1028115572518393,71.46946564885496+-1.7962643699443372,98.43511450381679+-0.1949696253979228
LegalReasonsLegalThreats,93.83028598218472+-1.1699934932818852,93.36146272855133+-0.223860035373904,99.915611814346+-0.0770355214493887
ManipulationofImages,75.83415597235933+-2.330476977720792,61.86574531095755+-0.6888981765989302,92.65547877591312+-0.2949135093048283
ManipulationofResults,99.87827715355805+-0.15385465098460058,99.06367041198502+-0.3550035320248825,99.93445692883896+-0.04187393216292139
MiscommunicationbyAuthor,93.0830595964336+-0.5733851673057148,94.63162834350071+-0.5231811818740014,99.83106522759269+-0.0629582724777018
MiscommunicationbyCompanyInstitution,100.0+-0.0,98.53202431042543+-0.2573419157461038,99.97194950911641+-0.025606477676724904
MiscommunicationbyJournalPublisher,100.0+-0.0,99.7754911131899+-0.11646304581841405,99.97193638914874+-0.04183476103835032
MiscommunicationbyThirdParty,100.0+-0.0,99.72884525479195+-0.039114540744929614,99.99064983637214+-0.020907601472648026
Misconduct-OfficialInvestigationFinding,68.58316221765914+-3.124677164996556,59.97946611909651+-1.392959365633831,83.01848049281314+-0.8375583506986882
MisconductbyAuthor,64.71330878485008+-1.7983300656337706,55.8022093634929+-1.678138381226617,79.04260915307732+-0.8388630462988188
MisconductbyCompanyInstitution,100.0+-0.0,99.96261682242991+-0.02089783156542103,100.0+-0.0
MisconductbyThirdParty,99.99064108563407+-0.02092716871782541,92.33504913430042+-0.7342424713676989,99.9157697707066+-0.06940756656149506
NoFurtherAction,100.0+-0.0,98.76462330369677+-0.32182964649601126,99.9157697707066+-0.06101265704448169
Notice-Lackof,91.004243281471+-3.2208038227713245,79.24563884959925+-1.0428036813540207,99.84912776991985+-0.021085035148510088
Notice-LimitedorNoInformation,59.160073037127205+-1.3561947629432283,56.092513694461346+-0.44435087640764437,67.93670115642118+-1.0332595424424107
Notice-NoLimitedInformation,92.7434456928839+-0.682461598179462,95.06554307116104+-0.3287170352348699,99.89700374531836+-0.039169476897667276
Notice-UnabletoAccessviacurrentresources,96.71977507029054+-0.23194692916147597,95.69821930646673+-0.2257093641760521,99.9343955014058+-0.05342902648074888
NotPresentedatConference,100.0+-0.0,99.98130841121495+-0.02559451203295467,100.0+-0.0
ObjectionsbyAuthor(s),87.80834914611006+-1.105425066198391,71.29032258064515+-0.4261535992689841,99.24098671726755+-0.1500131717347446
ObjectionsbyCompanyInstitution,100.0+-0.0,99.75678203928905+-0.06098411978674126,99.9532273152479+-0.03307328256251506
ObjectionsbyThirdParty,86.903073286052+-2.0590460130417667,77.97635933806147+-0.8327421070557612,99.65957446808511+-0.09094744237196713
OriginalDatanotProvided,83.35870599429116+-1.575832988541913,68.18268315889628+-0.5955274528367644,98.99143672692674+-0.3420680877687486
PaperMill,100.0+-0.0,99.98130841121495+-0.02559451203295467,100.0+-0.0
PlagiarismofArticle,72.56689791873141+-2.1886948275052087,62.51734390485629+-1.8175585469704179,91.43706640237859+-1.0555121278736637
PlagiarismofData,91.7020273455917+-1.2959151463351954,75.24752475247524+-0.5774374688314913,99.6982555398397+-0.1085418616993928
PlagiarismofImage,92.28813559322033+-1.9312959730912118,80.98870056497175+-1.3610393722044036,99.83992467043315+-0.127205801187443
PlagiarismofText,74.78599221789884+-0.7429066725728583,65.3988326848249+-1.4755081092737645,94.67898832684824+-0.4596239165341423
PublishingBan,95.80327868852459+-0.4643857445600166,97.3864168618267+-0.4168355121552604,99.98126463700234+-0.041893545245895364
RandomlyGeneratedContent,93.1455399061033+-1.3270698615119776,80.70422535211267+-0.941896837922012,99.92488262910798+-0.071200708394852
ResultsNotReproducible,76.62012518054887+-1.6093422125671468,64.76649012999518+-1.14665195159204,97.34232065479057+-0.3781865553520514
RetractandReplace,73.35914811229429+-3.0081028759185604,61.86834462729913+-1.6666986849317642,95.65343659244918+-0.5448262077543111
SalamiSlicing,99.99064983637214+-0.020907601472648026,99.47639083683964+-0.10135335852584841,99.95324918186068+-0.06611564106466339
TakenfromDissertationThesis,99.5137914913511+-0.29678485737454324,99.96259934548854+-0.020907601472648026,99.98129967274427+-0.04181520294529605
TakenviaPeerReview,100.0+-0.0,99.99065420560747+-0.02089783156542103,99.99065420560747+-0.02089783156542103
TemporaryRemoval,95.10089160018771+-2.025076210890958,91.6752698263726+-1.4647479591101193,99.83106522759269+-0.11778414263736456
UnreliableData,78.52713178294573+-1.015941122802943,64.06976744186046+-0.6247933977375079,96.51162790697674+-0.4265217262998737
UnreliableImage,87.71266540642722+-0.5930954819475934,76.84310018903592+-0.5230610496497813,99.6124763705104+-0.10245502546634547
UnreliableResults,69.52475247524752+-1.8475364256314137,57.53465346534654+-1.954787456627487,90.93069306930694+-0.3119204752875925
UpdatedtoRetraction,100.0+-0.0,99.83169705469845+-0.06272280441794408,99.98129967274427+-0.025606477676724904
UpgradeUpdateofPriorNotice,84.46991404011462+-1.1969397463727967,64.63228271251194+-0.9114920986311308,98.23304680038204+-0.37298231499076945
Withdrawal,71.63141993957704+-0.9979447445589111,59.69788519637462+-1.1982406164034936,85.98187311178248+-0.5669965059520335
Withdrawn(outofdate),68.73720136518772+-0.8377077170127573,57.669429546562654+-0.7035171715427708,94.76352998537298+-0.17781162875485526
WithdrawntoPublishinDifferentJournal,91.01081335213917+-1.1997470922603952,84.38175834508698+-1.2573212713076978,99.59567465914434+-0.2928521204023955
